creation_time,factory_address,pool_name,pool_address,token0,token1,platform
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-SUPER UNI-V2 LP,0x25647e01bd0967c1b9599fa3521939871d1d0888,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mTSLA-UST UNI-V2 LP,0x5233349957586a8207c52693a959483f9aeaa50c,0x21ca39943e91d704678f5d00b6616650f066fd63,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mMSFT-UST UNI-V2 LP,0xeafad3065de347b910bb88f09a5abe580a09d655,0x41bbedd7286daab5910a1f15d12cbda839852bd7,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mGOOGL-UST UNI-V2 LP,0x4b70ccd1cf9905be1faed025eadbd3ab124efe9a,0x59a921db27dd6d4d974745b7ffc5c33932653442,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WAXE-WETH UNI-V2 LP,0x0ee0cb563a52ae1170ac34fbb94c50e89adde4bd,0x7a2bc711e19ba6aff6ce8246c546e8c4b4944dfd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mBABA-UST UNI-V2 LP,0x676ce85f66adb8d7b8323aeefe17087a3b8cb363,0x56aa298a19c93c6801fdde870fa63ef75cc0af72,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mAMZN-UST UNI-V2 LP,0x0ae8cb1f57e3b1b7f4f5048743710084aa69e796,0x0cae9e4d663793c2a2a0b211c1cf4bbca2b9caa7,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,UST-mAAPL UNI-V2 LP,0xb022e08adc8ba2de6ba4fecb59c6d502f66e953b,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xd36932143f6ebdedd872d5fb0651f4b72fd15a84,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mUSO-UST UNI-V2 LP,0x6bd8ca9d141aa95842b41e1431a244c309c9008c,0x31c63146a635eb7465e5853020b39713ac356991,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mSLV-UST UNI-V2 LP,0x860425be6ad1345dc7a3e287facbf32b18bc4fae,0x9d1555d8cb3c846bb4f7d5b1b1080872c3166676,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,mQQQ-UST UNI-V2 LP,0x9e3b47b861b451879d43bba404c35bdfb99f0a6c,0x13b02c8de71680e71f0820c996e4be43c2f57d15,0xa47c8bf37f92abed4a126bda807a7b7498661acd,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,ETH2POS-DC UNI-V2 LP,0xe2f95dae6c5763c357447fe1ffb3f2a884bdc0b5,0x0698dda3c390ff92722f9eed766d8b1727621df9,0xb4056171aa3ba32da1f527431383619b3802802c,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,CARDS-WETH UNI-V2 LP,0x94ae6d2390680ac6e6ee6069be42067d6ad72e2a,0x3d6f0dea3ac3c607b3998e6ce14b6350721752d9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,ELON-WETH UNI-V2 LP,0x7b73644935b8e68019ac6356c40661e1bc315860,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,GRO-USDC UNI-V2 LP,0x21c5918ccb42d20a2368bdca8feda0399ebfd2f6,0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-FOX UNI-V2 LP,0x470e8de2ebaef52014a47cb5e6af86884947f08c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc770eefad204b5180df6a14ee197d99d808ee52d,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,LON-WETH UNI-V2 LP,0x7924a818013f39cf800f5589ff1f1f0def54f31f,0x0000000000095413afc295d19edeb1ad7b71c952,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,SAITAMA-WETH UNI-V2 LP,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WOO-WETH UNI-V2 LP,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,PAXG-PAX UNI-V2 LP,0x709f7b10f22eb62b05913b59b92ddd372d4e2152,0x45804880de22913dafe09f4980848ece6ecbaf78,0x8e870d67f660d95d5be530380d0ec0bd388289e1,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,DBL-BLUE UNI-V2 LP,0xc86881ef494b049fe3e624ae6fdf542f58ab1931,0x292e57d8c8a5744e5b013c0f327c162dd1c18d29,0xbd9d26e318d329962694b6e09de628f6104a0606,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,BOOST-WETH UNI-V2 LP,0xbc6d37be25b06471d9e094dbb800c1d006e5a9ed,0x4e0fca55a6c3a94720ded91153a27f60e26b9aa8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,UFO-WETH UNI-V2 LP,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,STRONG-WETH UNI-V2 LP,0xc0bf97bffa94a50502265c579a3b7086d081664b,0x990f341946a3fdb507ae7e52d17851b87168017c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,KEEP-WETH UNI-V2 LP,0xe6f19dab7d43317344282f803f8e8d240708174a,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,GVT-GRO UNI-V2 LP,0x2ac5bc9dda37601edb1a5e29699deb0a5b67e9bb,0x3adb04e127b9c0a5d36094125669d4603ac52a0c,0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,MT-ACR UNI-V2 LP,0x3c92befe32cdf5564ff2f3092edacb9f9e40d508,0x1f6b579a672590ab6115de803ee4bc81ec4e79f1,0x76306f029f8f99effe509534037ba7030999e3cf,uniswap-v2
